anio,provincia_id,provincia_nombre,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas
2021,34,Formosa,28_7,Tenencia simple atenuada para uso personal de estupefacientes,245,
2021,34,Formosa,28_8,Confabulación de estupefacientes,0,
2021,34,Formosa,28_9,Contrabando de estupefacientes,12,
2021,34,Formosa,28_10,Otros delitos previstos en la ley 23.737,75,
2021,34,Formosa,29_1,Ley de residuos peligrosos,0,
2021,34,Formosa,29_2,Ley de fauna,29,
2021,34,Formosa,29_3,Delitos migratorios,69,
2021,34,Formosa,29_4,Obstrucción del código aduanero,41,
2021,34,Formosa,29_5,Contrabando Simple,1825,
2021,34,Formosa,29_6,Contrabando Agravado,29,
2021,34,Formosa,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,1,
2021,34,Formosa,29_8,Otros delitos previstos en leyes especiales,96,
2021,34,Formosa,30,Contravenciones,1,
2021,34,Formosa,31,Suicidios (consumados),52,52
2021,34,Formosa,32,Delitos contra el orden económico y financiero,5,
2021,38,Jujuy,1,Homicidios dolosos,25,25
2021,38,Jujuy,2,Homicidios dolosos en grado de tentativa,13,13
2021,38,Jujuy,3,Muertes en Accidentes Viales,85,109
2021,38,Jujuy,4,Homicidios culposos por otros hechos,4,5
2021,38,Jujuy,5,Lesiones dolosas,2467,2780
2021,38,Jujuy,6,Lesiones culposas en Accidentes Viales,1128,1942
2021,38,Jujuy,7,Lesiones culposas por otros hechos,19,19
2021,38,Jujuy,8,Otros delitos contra las personas,5,6
2021,38,Jujuy,9,Delitos contra el honor,150,154
2021,38,Jujuy,10,Violaciones,175,175
2021,38,Jujuy,11,Otros delitos contra la integridad sexual,709,739
2021,38,Jujuy,12,Delitos contra el estado civil,0,
2021,38,Jujuy,13,Amenazas,2262,
2021,38,Jujuy,14_1,Trata de personas simple,0,0
2021,38,Jujuy,14_2,Trata de personas agravado,0,0
2021,38,Jujuy,14_3,Otros delitos contra la libertad,208,217
2021,38,Jujuy,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),4926,
2021,38,Jujuy,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),387,
2021,38,Jujuy,17,Robos agravados por el resultado de lesiones y/o muertes ,458,
2021,38,Jujuy,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,56,
2021,38,Jujuy,19,Hurtos,5518,
2021,38,Jujuy,20,Tentativas de hurto,388,
2021,38,Jujuy,21,Otros delitos contra la propiedad,2977,
2021,38,Jujuy,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,0,
2021,38,Jujuy,22_2,Tenencia ilegal de armas de fuego,9,
2021,38,Jujuy,22_3,Portación ilegal de armas de fuego,14,
2021,38,Jujuy,22_4,Acopio y fabricación ilegal de armas piezas y municiones,0,
2021,38,Jujuy,22_5,Entrega y comercialización ilegal de armas de fuego,0,
2021,38,Jujuy,22_6,Omisión adulteración y supresión de marcaje,0,
2021,38,Jujuy,22_7,Otros delitos contra la seguridad pública,21,
2021,38,Jujuy,23,Delitos contra el orden público,4,
2021,38,Jujuy,24,Delitos contra la seguridad de la nación,0,
2021,38,Jujuy,25,Delitos contra los poderes públicos y el orden constitucional,0,
2021,38,Jujuy,26,Delitos contra la administración pública,451,
2021,38,Jujuy,27,Delitos contra la fe pública,60,
2021,38,Jujuy,28_1,Siembra y producción de estupefacientes,106,
2021,38,Jujuy,28_2,Comercialización y entrega de estupefacientes,67,
2021,38,Jujuy,28_3,Tenencia o entrega atenuada de estupefacientes,4,
2021,38,Jujuy,28_4,Desvío de Importación de estupefacientes,2,
2021,38,Jujuy,28_5,Organización y financiación de estupefacientes,0,
2021,38,Jujuy,28_6,Tenencia simple de estupefacientes,34,
2021,38,Jujuy,28_7,Tenencia simple atenuada para uso personal de estupefacientes,82,
2021,38,Jujuy,28_8,Confabulación de estupefacientes,0,
2021,38,Jujuy,28_9,Contrabando de estupefacientes,9,
2021,38,Jujuy,28_10,Otros delitos previstos en la ley 23.737,90,
2021,38,Jujuy,29_1,Ley de residuos peligrosos,2,
2021,38,Jujuy,29_2,Ley de fauna,8,
2021,38,Jujuy,29_3,Delitos migratorios,193,
2021,38,Jujuy,29_4,Obstrucción del código aduanero,0,
2021,38,Jujuy,29_5,Contrabando Simple,3799,
2021,38,Jujuy,29_6,Contrabando Agravado,19,
2021,38,Jujuy,29_7,Contrabando de elementos nucleares agresivos químicos armas y municiones,0,
2021,38,Jujuy,29_8,Otros delitos previstos en leyes especiales,6243,
2021,38,Jujuy,30,Contravenciones,2142,
2021,38,Jujuy,31,Suicidios (consumados),52,52
2021,38,Jujuy,32,Delitos contra el orden económico y financiero,5,
2021,42,La Pampa,1,Homicidios dolosos,5,5
2021,42,La Pampa,2,Homicidios dolosos en grado de tentativa,1,1
2021,42,La Pampa,3,Muertes en Accidentes Viales,19,31
2021,42,La Pampa,4,Homicidios culposos por otros hechos,5,5
2021,42,La Pampa,5,Lesiones dolosas,502,519
2021,42,La Pampa,6,Lesiones culposas en Accidentes Viales,0,0
2021,42,La Pampa,7,Lesiones culposas por otros hechos,0,0
2021,42,La Pampa,8,Otros delitos contra las personas,3,3
2021,42,La Pampa,9,Delitos contra el honor,0,0
2021,42,La Pampa,10,Violaciones,17,17
2021,42,La Pampa,11,Otros delitos contra la integridad sexual,78,78
2021,42,La Pampa,12,Delitos contra el estado civil,4,
2021,42,La Pampa,13,Amenazas,795,
2021,42,La Pampa,14_1,Trata de personas simple,0,0
2021,42,La Pampa,14_2,Trata de personas agravado,0,0
2021,42,La Pampa,14_3,Otros delitos contra la libertad,0,0
2021,42,La Pampa,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),582,
2021,42,La Pampa,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),51,
2021,42,La Pampa,17,Robos agravados por el resultado de lesiones y/o muertes ,0,
2021,42,La Pampa,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,2,
2021,42,La Pampa,19,Hurtos,1338,
2021,42,La Pampa,20,Tentativas de hurto,55,
2021,42,La Pampa,21,Otros delitos contra la propiedad,654,
2021,42,La Pampa,22_1,Fabricación adquisición transferencia y tenencia de explosivos y otros materiales peligrosos,0,
2021,42,La Pampa,22_2,Tenencia ilegal de armas de fuego,0,
2021,42,La Pampa,22_3,Portación ilegal de armas de fuego,0,
2021,42,La Pampa,22_4,Acopio y fabricación ilegal de armas piezas y municiones,0,
2021,42,La Pampa,22_5,Entrega y comercialización ilegal de armas de fuego,0,
2021,42,La Pampa,22_6,Omisión adulteración y supresión de marcaje,0,
2021,42,La Pampa,22_7,Otros delitos contra la seguridad pública,63,
2021,42,La Pampa,23,Delitos contra el orden público,0,
2021,42,La Pampa,24,Delitos contra la seguridad de la nación,0,
2021,42,La Pampa,25,Delitos contra los poderes públicos y el orden constitucional,0,
2021,42,La Pampa,26,Delitos contra la administración pública,501,
2021,42,La Pampa,27,Delitos contra la fe pública,1,
2021,42,La Pampa,28_1,Siembra y producción de estupefacientes,0,
2021,42,La Pampa,28_2,Comercialización y entrega de estupefacientes,1,
2021,42,La Pampa,28_3,Tenencia o entrega atenuada de estupefacientes,1,
2021,42,La Pampa,28_4,Desvío de Importación de estupefacientes,0,
2021,42,La Pampa,28_5,Organización y financiación de estupefacientes,0,
2021,42,La Pampa,28_6,Tenencia simple de estupefacientes,18,
2021,42,La Pampa,28_7,Tenencia simple atenuada para uso personal de estupefacientes,2,
2021,42,La Pampa,28_8,Confabulación de estupefacientes,0,
2021,42,La Pampa,28_9,Contrabando de estupefacientes,11,
2021,42,La Pampa,28_10,Otros delitos previstos en la ley 23.737,1198,
2021,42,La Pampa,29_1,Ley de residuos peligrosos,0,
